,url,delegacion,colonia,antiguedad,superficie construida en m2,precio total en pesos,precio de m2,precio mediano de m2 de la colonia,precio mediano de m2 de la colonia (nuevos),precio mediano de m2 de la colonia (usados),delta,semaforo
43362, http://departamento.metroscubicos.com/MLM-582190977-depa-en-san-juan-xalapa-iztapalapa-cdmx-ac-4653-_JM,Iztapalapa,Ampl. EL SANTUARIO,no_age_info,69,1032080.0,14957.68115942029,14957.68115942029,11300.0,14928.977272727272,0.0,amarillo
43440, http://departamento.metroscubicos.com/MLM-582192651-departamento-con-excelente-ubicacion-en-benito-juarez-_JM,Benito Jurez,LETRAN VALLE,9,65,2600000.0,40000.0,43680.0,42581.53846153846,40000.0,0.0,amarillo
43471, http://departamento.metroscubicos.com/MLM-582193164-elegante-departamento-en-venta-en-santa-fe-erav1554-_JM,lvaro Obregn,SAN GABRIEL,10,360,21000000.0,58333.333333333336,54642.857142857145,53553.6231884058,52694.69607754325,10.70057837982879,sobrevaluado
43478, http://departamento.metroscubicos.com/MLM-582194030-ph-bosque-de-las-lomas-en-venta-_JM,Miguel Hidalgo,SAN GABRIEL,15,258,18235000.0,70678.2945736434,44620.25316455696,46853.146853146856,42075.0,67.98168644953869,sobrevaluado
43489, http://departamento.metroscubicos.com/MLM-582195510-departamento-en-polanco-220-m2-_JM,Miguel Hidalgo,POLANCO I SECCION,30,220,10900000.0,49545.454545454544,61111.11111111111,87500.0,50735.44433094995,-2.3454801691161666,amarillo
43514, http://departamento.metroscubicos.com/MLM-582198756-remate-departamento-del-valle-_JM,Benito Jurez,INSURGENTES SAN BORJA,no_age_info,111,3045000.0,27432.432432432433,44472.52747252748,46048.3870967742,36000.0,-38.31600317886456,verde
43539, http://departamento.metroscubicos.com/MLM-582203252-departamento-venta-dto-de-los-leones-sn-bartolo-ameyalco-_JM,lvaro Obregn,ZONA RUSTICA,no_age_info,177,6950000.0,39265.536723163845,35622.616077317965,31979.695431472082,,10.22642648686726,sobrevaluado
43547, http://departamento.metroscubicos.com/MLM-582205261-hermoso-pent-garden-mediterranea-_JM,lvaro Obregn,SAN GABRIEL,no_age_info,347,25000000.0,72046.10951008646,54642.857142857145,53553.6231884058,52694.69607754325,31.84908929950463,sobrevaluado
43564, http://departamento.metroscubicos.com/MLM-582207544-remate-departamento-benito-juarez-_JM,Benito Jurez,CAROLA,no_age_info,67,1680000.0,25074.626865671642,37243.90243902439,35972.378569939545,,-32.67454476145793,verde
43600, http://departamento.metroscubicos.com/MLM-582212064-departamento-venta-nebraska-napoles-_JM,Benito Jurez,ESCANDON II SECCION,no_age_info,125,6770000.0,54160.0,51975.8064516129,53012.644310060474,44624.766355140186,4.202327385570213,amarillo
43625, http://departamento.metroscubicos.com/MLM-582214914-departamento-venta-condor-las-aguilas-_JM,lvaro Obregn,LOS ALPES,no_age_info,160,9120000.0,57000.0,41666.666666666664,38181.818181818184,37549.407114624504,36.800000000000004,sobrevaluado
43641, http://departamento.metroscubicos.com/MLM-582217192-departamento-colonia-condesa-_JM,Miguel Hidalgo,HIPODROMO,no_age_info,110,7247000.0,65881.81818181818,63095.23809523809,66713.56060606061,36318.181818181816,4.416466552315606,amarillo
43680, http://departamento.metroscubicos.com/MLM-582222727-venta-departamento-colonia-narvarte-_JM,Benito Jurez,LETRAN VALLE,no_age_info,94,5674500.0,60367.02127659575,43680.0,42581.53846153846,40000.0,38.20288753799393,sobrevaluado
43683, http://departamento.metroscubicos.com/MLM-582223376-departamento-venta-bosque-de-tabachines-_JM,Miguel Hidalgo,SAN GABRIEL,15,250,13400000.0,53600.0,44620.25316455696,46853.146853146856,42075.0,27.391562685680334,sobrevaluado
43684, http://departamento.metroscubicos.com/MLM-582223618-departamento-en-venta-tabachines-_JM,Miguel Hidalgo,SAN GABRIEL,20,265,12800000.0,48301.88679245283,44620.25316455696,46853.146853146856,42075.0,14.79949326786175,sobrevaluado
43687, http://departamento.metroscubicos.com/MLM-582223699-departamento-en-venta-radiatas-_JM,Miguel Hidalgo,SAN GABRIEL,18,439,15900000.0,36218.67881548975,44620.25316455696,46853.146853146856,42075.0,-13.91876692694058,naranja
43793, http://departamento.metroscubicos.com/MLM-582250944-departamento-jardin-balbuena-_JM,Iztacalco,24 DE ABRIL,55,60,1185000.0,19750.0,26363.636363636364,29200.0,19750.0,0.0,amarillo
44246, http://departamento.metroscubicos.com/MLM-582269681-monisimo-departamento-con-2-recamaras-1-bano-1-estac-_JM,Benito Jurez,DEL CARMEN,20,60,1790000.0,29833.333333333332,36785.876418663305,40669.9,31145.833333333332,-4.214046822742475,amarillo
44250, http://departamento.metroscubicos.com/MLM-582270358-remate-departamento-rio-consulado-_JM,Cuauhtmoc,DEL GAS,no_age_info,79,1365000.0,17278.481012658227,30666.666666666668,31814.814814814818,,-43.65712713263621,verde
44258, http://departamento.metroscubicos.com/MLM-582272123-departamento-venta-condor-las-aguilas-_JM,lvaro Obregn,LOS ALPES,no_age_info,130,7400000.0,56923.07692307692,41666.666666666664,38181.818181818184,37549.407114624504,36.61538461538462,sobrevaluado
44267, http://departamento.metroscubicos.com/MLM-582273471-remate-departamento-division-del-norte-_JM,Benito Jurez,PIEDAD NARVARTE,no_age_info,110,3517500.0,31977.272727272728,40084.08163265306,44534.55284552845,30973.451327433628,-20.224509518951816,verde
44322, http://departamento.metroscubicos.com/MLM-582281117-pent-house-venta-condor-las-aguilas-_JM,lvaro Obregn,LOS ALPES,no_age_info,580,24500000.0,42241.379310344826,41666.666666666664,38181.818181818184,37549.407114624504,1.3793103448275885,amarillo
44333, http://departamento.metroscubicos.com/MLM-582283433-departamento-en-alvaro-obregon-_JM,Benito Jurez,LOMAS DE PLATEROS,no_age_info,70,932000.0,13314.285714285714,13314.285714285714,,,0.0,amarillo
44364, http://departamento.metroscubicos.com/MLM-582288649-departamento-con-terraza-privada-a-media-cuadra-de-reforma-_JM,Miguel Hidalgo,JUAREZ,no_age_info,110,5695000.0,51772.72727272727,52139.09294512878,53350.67319461444,45913.793103448275,-0.7026698235565252,amarillo
44406, http://departamento.metroscubicos.com/MLM-582292604-departamento-santa-fe-plaza-_JM,lvaro Obregn,SAN GABRIEL,20,160,6000000.0,37500.0,54642.857142857145,53553.6231884058,52694.69607754325,-28.835342470110067,verde
44488, http://departamento.metroscubicos.com/MLM-582305708-departamento-en-venta-en-polanco-_JM,Miguel Hidalgo,POLANCO I SECCION,no_age_info,207,10500000.0,50724.637681159424,50724.637681159424,50000.0,53030.30303030303,0.0,amarillo
